Group,Test,Value,Type,Stack,Data,Address.cor,Address.mem,STACK
GrupoB,ijk00,456,Stack,123176,61588,123176,NA,NA
GrupoB,ijk00,923,Data,123176,61588,61588,NA,NA
GrupoB,ijk00,1379,Stack,123176,61588,123176,NA,NA
GrupoB,ijk01,456,Stack,123149,61574,123149,NA,NA
GrupoB,ijk01,923,Data,123149,61574,61574,NA,NA
GrupoB,ijk01,1379,Stack,123149,61574,123149,NA,NA
GrupoB,ijk02,456,Data,130635,65317,65317,NA,NA
GrupoB,ijk02,923,Data,130635,65317,65317,NA,NA
GrupoB,ijk02,1379,Data,130635,65317,65317,NA,NA
GrupoB,ijk03,456,Data,131895,65947,65947,NA,NA
GrupoB,ijk03,923,Data,131895,65947,65947,NA,NA
GrupoB,ijk03,1379,Data,131895,65947,65947,NA,NA
GrupoB,ijk04,30,Stack,123282,61641,123282,NA,NA
GrupoB,ijk04,46,Stack,123282,61641,123282,NA,NA
